date,teamname,game,side,teamkills,teamdeaths,dragons,barons,towers,totalgold,result,split
2022-03-25 18:09:35,Netshoes Miners,3,Red,6,18,2.0,0.0,1.0,52422,0,Split 1
2022-03-26 15:44:55,KaBuM! e-Sports,1,Blue,15,7,0.0,0.0,9.0,57106,1,Split 1
2022-03-26 15:44:55,RED Canids,1,Red,7,15,4.0,0.0,2.0,47606,0,Split 1
2022-03-26 16:56:50,RED Canids,2,Blue,6,16,1.0,0.0,3.0,47183,0,Split 1
2022-03-26 16:56:50,KaBuM! e-Sports,2,Red,16,6,4.0,1.0,8.0,56675,1,Split 1
2022-03-26 17:52:21,RED Canids,3,Blue,18,29,1.0,1.0,3.0,54521,0,Split 1
2022-03-26 17:52:21,KaBuM! e-Sports,3,Red,29,18,2.0,1.0,11.0,61111,1,Split 1
2022-03-27 15:46:31,paiN Gaming,1,Blue,18,8,1.0,1.0,10.0,55851,1,Split 1
2022-03-27 15:46:31,FURIA,1,Red,8,18,3.0,0.0,3.0,45640,0,Split 1
2022-03-27 16:54:28,FURIA,2,Blue,18,18,2.0,2.0,11.0,78852,1,Split 1
2022-03-27 16:54:28,paiN Gaming,2,Red,18,18,5.0,0.0,3.0,70440,0,Split 1
2022-03-27 17:58:59,FURIA,3,Blue,21,16,4.0,1.0,7.0,74959,1,Split 1
2022-03-27 17:58:59,paiN Gaming,3,Red,16,21,2.0,2.0,9.0,72493,0,Split 1
2022-03-27 19:24:54,paiN Gaming,4,Blue,18,16,2.0,0.0,11.0,70810,1,Split 1
2022-03-27 19:24:54,FURIA,4,Red,16,18,4.0,2.0,5.0,65659,0,Split 1
2022-03-27 20:27:42,FURIA,5,Blue,7,17,2.0,2.0,7.0,69177,0,Split 1
2022-03-27 20:27:42,paiN Gaming,5,Red,17,7,4.0,1.0,10.0,76510,1,Split 1
2022-04-02 15:47:36,RED Canids,1,Blue,7,13,2.0,0.0,3.0,54830,0,Split 1
2022-04-02 15:47:36,Liberty,1,Red,13,7,3.0,1.0,9.0,60078,1,Split 1
2022-04-02 17:00:13,RED Canids,2,Blue,21,7,3.0,1.0,9.0,66945,1,Split 1
2022-04-02 17:00:13,Liberty,2,Red,7,21,1.0,0.0,2.0,53216,0,Split 1
2022-04-02 17:59:06,Liberty,3,Blue,13,22,2.0,0.0,6.0,64059,0,Split 1
2022-04-02 17:59:06,RED Canids,3,Red,22,13,4.0,1.0,9.0,70754,1,Split 1
2022-04-02 19:00:34,Liberty,4,Blue,16,3,1.0,0.0,10.0,43371,1,Split 1
2022-04-02 19:00:34,RED Canids,4,Red,3,16,1.0,0.0,2.0,34620,0,Split 1
2022-04-02 19:44:13,RED Canids,5,Blue,22,13,2.0,1.0,11.0,64892,1,Split 1
2022-04-02 19:44:13,Liberty,5,Red,13,22,2.0,0.0,4.0,54401,0,Split 1
2022-04-03 15:45:04,KaBuM! e-Sports,1,Blue,9,20,2.0,0.0,2.0,57276,0,Split 1
2022-04-03 15:45:04,paiN Gaming,1,Red,20,9,2.0,2.0,10.0,67069,1,Split 1
2022-04-03 17:01:13,KaBuM! e-Sports,2,Blue,12,25,3.0,0.0,4.0,68174,0,Split 1
2022-04-03 17:01:13,paiN Gaming,2,Red,25,12,4.0,2.0,10.0,78216,1,Split 1
2022-04-03 18:02:42,paiN Gaming,3,Blue,24,6,2.0,1.0,10.0,56724,1,Split 1
2022-04-03 18:02:42,KaBuM! e-Sports,3,Red,6,24,1.0,0.0,3.0,44838,0,Split 1
2022-04-09 15:45:18,FURIA,1,Blue,7,22,2.0,0.0,3.0,51908,0,Split 1
2022-04-09 15:45:18,RED Canids,1,Red,22,7,3.0,1.0,11.0,61292,1,Split 1
2022-04-09 16:59:18,RED Canids,2,Blue,10,16,4.0,0.0,3.0,61812,0,Split 1
2022-04-09 16:59:18,FURIA,2,Red,16,10,2.0,2.0,11.0,71402,1,Split 1
2022-04-09 18:21:56,RED Canids,3,Blue,18,9,4.0,1.0,8.0,75737,1,Split 1
2022-04-09 18:21:56,FURIA,3,Red,9,18,3.0,2.0,10.0,74423,0,Split 1
2022-04-09 19:19:28,RED Canids,4,Blue,24,15,2.0,1.0,11.0,65895,1,Split 1
