date,playername,teamname,position,kills,deaths,assists,totalgold,total cs,split,KDA
2022-01-30 20:01:23,Tyrin,INTZ,top,3,0,6,14374,304.0,Split 1,inf
2022-01-30 20:01:23,Yampi,INTZ,jng,1,0,8,10515,174.0,Split 1,inf
2022-01-30 20:01:23,Kick,INTZ,mid,4,1,6,12753,224.0,Split 1,10.0
2022-01-30 20:01:23,micaO,INTZ,bot,2,0,10,13746,273.0,Split 1,inf
2022-01-30 20:01:23,Decoy,INTZ,sup,3,1,7,8917,35.0,Split 1,10.0
2022-01-30 20:01:23,Boal,Flamengo Esports,top,0,4,1,12721,318.0,Split 1,0.25
2022-01-30 20:01:23,asta,Flamengo Esports,jng,1,2,0,9457,182.0,Split 1,0.5
2022-01-30 20:01:23,Tutsz,Flamengo Esports,mid,0,1,1,10560,261.0,Split 1,1.0
2022-01-30 20:01:23,Flare,Flamengo Esports,bot,1,1,0,12167,311.0,Split 1,1.0
2022-01-30 20:01:23,Gyeong,Flamengo Esports,sup,0,5,2,6223,36.0,Split 1,0.4
2022-01-30 20:01:23,,INTZ,team,13,2,37,60305,,Split 1,25.0
2022-01-30 20:01:23,,Flamengo Esports,team,2,13,4,51128,,Split 1,0.46
2022-02-05 15:45:07,DoRun,Netshoes Miners,top,2,4,2,8125,155.0,Split 1,1.0
2022-02-05 15:45:07,Croc,Netshoes Miners,jng,3,4,4,9515,159.0,Split 1,1.75
2022-02-05 15:45:07,Anyyy,Netshoes Miners,mid,2,3,5,11568,261.0,Split 1,2.33
2022-02-05 15:45:07,Drop,Netshoes Miners,bot,1,4,2,11513,269.0,Split 1,0.75
2022-02-05 15:45:07,Hawk,Netshoes Miners,sup,0,3,3,6260,32.0,Split 1,1.0
2022-02-05 15:45:07,Guigo,RED Canids,top,4,1,8,13463,262.0,Split 1,12.0
2022-02-05 15:45:07,Aegis,RED Canids,jng,2,4,14,11667,203.0,Split 1,4.0
2022-02-05 15:45:07,Grevthar,RED Canids,mid,5,1,9,13524,284.0,Split 1,14.0
2022-02-05 15:45:07,TitaN,RED Canids,bot,7,1,9,13527,253.0,Split 1,16.0
2022-02-05 15:45:07,Jojo,RED Canids,sup,0,1,9,7071,36.0,Split 1,9.0
2022-02-05 15:45:07,,Netshoes Miners,team,8,18,16,46981,,Split 1,1.33
2022-02-05 15:45:07,,RED Canids,team,18,8,49,59252,,Split 1,8.38
2022-02-05 16:59:05,Robo,LOUD,top,1,0,6,10667,239.0,Split 1,inf
2022-02-05 16:59:05,Tay,LOUD,jng,1,1,9,8933,158.0,Split 1,10.0
2022-02-05 16:59:05,tinowns,LOUD,mid,1,1,6,9696,192.0,Split 1,7.0
2022-02-05 16:59:05,DudsTheBoy,LOUD,bot,7,0,3,15816,288.0,Split 1,inf
2022-02-05 16:59:05,Ceos,LOUD,sup,0,0,10,6360,25.0,Split 1,inf
2022-02-05 16:59:05,Tyrin,INTZ,top,0,1,1,9691,225.0,Split 1,1.0
2022-02-05 16:59:05,Yampi,INTZ,jng,0,2,2,6788,129.0,Split 1,1.0
2022-02-05 16:59:05,Kick,INTZ,mid,0,2,2,7415,182.0,Split 1,1.0
2022-02-05 16:59:05,micaO,INTZ,bot,2,2,0,9850,237.0,Split 1,1.0
2022-02-05 16:59:05,Decoy,INTZ,sup,0,3,1,4998,29.0,Split 1,0.33
2022-02-05 16:59:05,,LOUD,team,10,2,34,51472,,Split 1,22.0
2022-02-05 16:59:05,,INTZ,team,2,10,6,38742,,Split 1,0.8
2022-02-05 17:57:56,Parang,KaBuM! e-Sports,top,4,2,8,11806,223.0,Split 1,6.0
2022-02-05 17:57:56,Wiz,KaBuM! e-Sports,jng,7,2,11,12315,179.0,Split 1,9.0
2022-02-05 17:57:56,Hauz,KaBuM! e-Sports,mid,8,1,11,14440,266.0,Split 1,19.0
2022-02-05 17:57:56,Disave,KaBuM! e-Sports,bot,4,3,7,11282,232.0,Split 1,3.67
2022-02-05 17:57:56,Scuro,KaBuM! e-Sports,sup,2,1,15,7618,11.0,Split 1,17.0
2022-02-05 17:57:56,Kiari,Liberty,top,3,6,2,10425,219.0,Split 1,0.83
2022-02-05 17:57:56,Disamis,Liberty,jng,1,4,5,8719,156.0,Split 1,1.5
2022-02-05 17:57:56,Krastyel,Liberty,mid,1,6,4,8657,188.0,Split 1,0.83
2022-02-05 17:57:56,Matsukaze,Liberty,bot,2,4,3,10834,237.0,Split 1,1.25
2022-02-05 17:57:56,Wos,Liberty,sup,2,5,7,6315,31.0,Split 1,1.8
2022-02-05 17:57:56,,KaBuM! e-Sports,team,25,9,52,57461,,Split 1,8.56
2022-02-05 17:57:56,,Liberty,team,9,25,21,44950,,Split 1,1.2
2022-02-05 18:57:24,Boal,Flamengo Esports,top,1,1,0,11736,263.0,Split 1,1.0
2022-02-05 18:57:24,asta,Flamengo Esports,jng,3,4,1,10464,175.0,Split 1,1.0
2022-02-05 18:57:24,Tutsz,Flamengo Esports,mid,1,2,2,12210,277.0,Split 1,1.5
2022-02-05 18:57:24,Flare,Flamengo Esports,bot,0,2,3,13164,337.0,Split 1,1.5
2022-02-05 18:57:24,Gyeong,Flamengo Esports,sup,1,5,2,7149,37.0,Split 1,0.6
2022-02-05 18:57:24,Wizer,paiN Gaming,top,3,0,7,15326,314.0,Split 1,inf
2022-02-05 18:57:24,CarioK,paiN Gaming,jng,3,3,4,11599,190.0,Split 1,2.33
