date,teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
2018-02-03 15:04:42,paiN Gaming,Split 1,0,69927,14,8,5.0,3.0,1.0
2018-02-03 16:13:22,paiN Gaming,Split 1,1,14522,13,10,,,
2018-02-03 16:13:22,paiN Gaming,Split 1,1,12664,13,10,,,
2018-02-03 16:13:22,paiN Gaming,Split 1,1,15596,13,10,,,
2018-02-03 16:13:22,paiN Gaming,Split 1,1,15982,13,10,,,
2018-02-03 16:13:22,paiN Gaming,Split 1,1,10475,13,10,,,
2018-02-03 16:13:22,CNB e-Sports Club,Split 1,0,13660,10,13,,,
2018-02-03 16:13:22,CNB e-Sports Club,Split 1,0,10067,10,13,,,
2018-02-03 16:13:22,CNB e-Sports Club,Split 1,0,14361,10,13,,,
2018-02-03 16:13:22,CNB e-Sports Club,Split 1,0,15311,10,13,,,
2018-02-03 16:13:22,CNB e-Sports Club,Split 1,0,8848,10,13,,,
2018-02-03 16:13:22,paiN Gaming,Split 1,1,69239,13,10,8.0,2.0,2.0
2018-02-03 16:13:22,CNB e-Sports Club,Split 1,0,62247,10,13,4.0,1.0,0.0
2018-02-03 17:23:13,CNB e-Sports Club,Split 1,1,11572,12,4,,,
2018-02-03 17:23:13,CNB e-Sports Club,Split 1,1,9618,12,4,,,
2018-02-03 17:23:13,CNB e-Sports Club,Split 1,1,13399,12,4,,,
2018-02-03 17:23:13,CNB e-Sports Club,Split 1,1,12741,12,4,,,
2018-02-03 17:23:13,CNB e-Sports Club,Split 1,1,6689,12,4,,,
2018-02-03 17:23:13,paiN Gaming,Split 1,0,9900,4,12,,,
2018-02-03 17:23:13,paiN Gaming,Split 1,0,7792,4,12,,,
2018-02-03 17:23:13,paiN Gaming,Split 1,0,10598,4,12,,,
2018-02-03 17:23:13,paiN Gaming,Split 1,0,10825,4,12,,,
2018-02-03 17:23:13,paiN Gaming,Split 1,0,6135,4,12,,,
2018-02-03 17:23:13,CNB e-Sports Club,Split 1,1,54019,12,4,9.0,3.0,1.0
2018-02-03 17:23:13,paiN Gaming,Split 1,0,45250,4,12,2.0,0.0,0.0
2018-02-03 18:14:13,Team oNe eSports,Split 1,0,14741,4,17,,,
