playername,teamname,position,kills,deaths,assists,totalgold,total cs,KDA
WooFe,Flamengo Esports,top,3,2,7,11981,219.0,5.0
Ranger,Flamengo Esports,jng,3,2,7,10800,160.0,5.0
Goku,Flamengo Esports,mid,6,0,8,13931,253.0,inf
Absolut,Flamengo Esports,bot,3,1,10,13715,278.0,13.0
Luci,Flamengo Esports,sup,3,3,10,8691,34.0,4.33
Yang,paiN Gaming,top,4,5,2,11725,244.0,1.2
SeongHwan,paiN Gaming,jng,1,3,5,8696,143.0,2.0
tinowns,paiN Gaming,mid,3,2,2,11774,278.0,2.5
brTT,paiN Gaming,bot,0,4,5,10288,239.0,1.25
Key,paiN Gaming,sup,0,4,5,6459,41.0,1.25
,Flamengo Esports,team,18,8,42,59118,,7.5
,paiN Gaming,team,8,18,19,48942,,1.5
Glow,Redemption eSports Porto Alegre,top,0,6,5,10350,229.0,0.83
BalKhan,Redemption eSports Porto Alegre,jng,9,7,4,14069,220.0,1.86
Krastyel,Redemption eSports Porto Alegre,mid,3,2,6,10832,213.0,4.5
Save,Redemption eSports Porto Alegre,bot,5,3,4,15117,348.0,3.0
Scuro,Redemption eSports Porto Alegre,sup,1,3,9,7389,32.0,3.33
lcberg,INTZ,top,7,6,3,15930,290.0,1.67
Shini,INTZ,jng,1,6,11,11959,200.0,2.0
Envy,INTZ,mid,10,1,2,13601,246.0,12.0
Mills,INTZ,bot,3,0,6,16686,326.0,inf
Jockster,INTZ,sup,0,5,9,8036,30.0,1.8
,Redemption eSports Porto Alegre,team,18,21,28,57757,,2.19
,INTZ,team,21,18,31,66212,,2.89
Robo,Vivo Keyd,top,7,3,2,13547,238.0,3.0
Grell,Vivo Keyd,jng,0,1,9,10160,161.0,9.0
NOsFerus,Vivo Keyd,mid,3,1,13,12585,249.0,16.0
Klaus,Vivo Keyd,bot,7,0,5,16181,310.0,inf
Professor,Vivo Keyd,sup,1,3,6,7811,35.0,2.33
fNb,Prodigy Esports,top,1,5,3,10435,235.0,0.8
Yampi,Prodigy Esports,jng,0,5,7,8466,142.0,1.4
Aloned,Prodigy Esports,mid,4,1,3,12934,290.0,7.0
Garo,Prodigy Esports,bot,3,4,4,12707,266.0,1.75
Wos,Prodigy Esports,sup,0,3,6,6751,35.0,2.0
,Vivo Keyd,team,18,8,35,60284,,6.62
,Prodigy Esports,team,8,18,23,51293,,1.72
Parang,KaBuM! e-Sports,top,0,1,8,13808,297.0,8.0
Wiz,KaBuM! e-Sports,jng,2,2,6,13666,229.0,4.0
Tutsz,KaBuM! e-Sports,mid,2,3,6,14205,308.0,2.67
Disave,KaBuM! e-Sports,bot,9,1,3,18723,330.0,12.0
Ceos,KaBuM! e-Sports,sup,0,0,8,8930,33.0,inf
Fitz,FURIA Esports,top,1,3,1,12899,276.0,0.67
Sting,FURIA Esports,jng,3,2,3,12328,218.0,3.0
Anyyy,FURIA Esports,mid,2,3,3,14857,334.0,1.67
Alternative,FURIA Esports,bot,1,2,1,16659,401.0,1.0
Damage,FURIA Esports,sup,0,3,5,8420,52.0,1.67
,KaBuM! e-Sports,team,13,7,31,69332,,6.29
,FURIA Esports,team,7,13,13,65163,,1.54
Parang,KaBuM! e-Sports,top,10,0,4,14834,272.0,inf
Wiz,KaBuM! e-Sports,jng,3,1,9,10587,185.0,12.0
Tutsz,KaBuM! e-Sports,mid,3,0,8,12144,270.0,inf
Disave,KaBuM! e-Sports,bot,1,3,7,11516,243.0,2.67
Ceos,KaBuM! e-Sports,sup,0,0,15,7638,30.0,inf
Nyu,Redemption eSports Porto Alegre,top,1,4,0,9023,193.0,0.25
BalKhan,Redemption eSports Porto Alegre,jng,1,3,2,8528,149.0,1.0
Krastyel,Redemption eSports Porto Alegre,mid,0,3,1,9704,246.0,0.33
Save,Redemption eSports Porto Alegre,bot,0,4,4,9939,249.0,1.0
BocaJR,Redemption eSports Porto Alegre,sup,2,3,2,6370,16.0,1.33
,KaBuM! e-Sports,team,17,4,43,56719,,15.0
,Redemption eSports Porto Alegre,team,4,17,9,43564,,0.76
Yang,paiN Gaming,top,4,3,4,16341,322.0,2.67
SeongHwan,paiN Gaming,jng,3,0,5,13318,203.0,inf
tinowns,paiN Gaming,mid,5,0,7,16332,368.0,inf
brTT,paiN Gaming,bot,0,0,6,15901,381.0,inf
Key,paiN Gaming,sup,1,1,5,8647,30.0,6.0
Tay,INTZ,top,1,2,1,13687,343.0,1.0
Shini,INTZ,jng,0,4,2,9959,196.0,0.5
Envy,INTZ,mid,2,2,2,13398,319.0,2.0
micaO,INTZ,bot,1,2,3,15241,391.0,2.0
RedBert,INTZ,sup,0,3,3,7535,43.0,1.0
,paiN Gaming,team,13,4,27,70539,,10.0
,INTZ,team,4,13,11,59820,,1.15
Tyrin,FURIA Esports,top,4,2,6,10527,184.0,5.0
Sting,FURIA Esports,jng,3,1,14,9274,152.0,17.0
Anyyy,FURIA Esports,mid,7,2,9,11028,183.0,8.0
Alternative,FURIA Esports,bot,6,0,13,10281,65.0,inf
Damage,FURIA Esports,sup,3,1,13,8976,128.0,16.0
fNb,Prodigy Esports,top,2,4,2,8756,183.0,1.0
Yampi,Prodigy Esports,jng,0,5,6,6969,114.0,1.2
Aloned,Prodigy Esports,mid,2,5,2,8324,185.0,0.8
Garo,Prodigy Esports,bot,2,3,1,9823,196.0,1.0
Wos,Prodigy Esports,sup,0,6,2,5307,27.0,0.33
,FURIA Esports,team,23,6,55,50086,,13.0
,Prodigy Esports,team,6,23,13,39179,,0.83
Robo,Vivo Keyd,top,4,5,8,15129,280.0,2.4
Grell,Vivo Keyd,jng,4,2,9,14208,207.0,6.5
NOsFerus,Vivo Keyd,mid,8,1,11,18315,283.0,19.0
